request;permission;role;Candidate_Roles
I need to read all aspects of Viva Insights.;NONE;NONE;NONE
I need to read all aspects of Viva Insights.;NONE;NONE;NONE
I need to update custom security attribute values for devices.;microsoft.directory/devices/customSecurityAttributes/update;Attribute Assignment Administrator;Attribute Assignment Administrator(10)
I need to update custom security attribute values for devices.;microsoft.directory/devices/customSecurityAttributes/update;Attribute Assignment Administrator;Attribute Assignment Administrator(10)
I need to update custom security attribute values for devices.;microsoft.directory/devices/customSecurityAttributes/update;Attribute Assignment Administrator;Attribute Assignment Administrator(10)
I need to update custom security attribute values for devices.;microsoft.directory/devices/customSecurityAttributes/update;Attribute Assignment Administrator;Attribute Assignment Administrator(10)
I need to update custom security attribute values for devices.;microsoft.directory/devices/customSecurityAttributes/update;Attribute Assignment Administrator;Attribute Assignment Administrator(10)
I need to create custom rules that define network locations.;NONE;NONE;NONE
I need to create custom rules that define network locations.;NONE;NONE;NONE
I need to create custom rules that define network locations.;NONE;NONE;NONE
I need to create custom rules that define network locations.;NONE;NONE;NONE
I need to create custom rules that define network locations.;NONE;NONE;NONE
I need to read members of administrative units.;microsoft.directory/administrativeUnits/members/read;Directory Readers;Directory Readers(54)
I need to read members of administrative units.;microsoft.directory/administrativeUnits/members/read;Directory Readers;Directory Readers(54)
I need to read members of administrative units.;microsoft.directory/administrativeUnits/members/read;Directory Readers;Directory Readers(54)
I need to read members of administrative units.;microsoft.directory/administrativeUnits/members/read;Directory Readers;Directory Readers(54)
I need to read members of administrative units.;microsoft.directory/administrativeUnits/members/read;Directory Readers;Directory Readers(54)
I need to read analytics reports of content understanding in Microsoft 365 admin center.;microsoft.office365.knowledge/contentUnderstanding/analytics/allProperties/read;Global Administrator;Global Administrator(205), Knowledge Manager(11)
I need to read analytics reports of content understanding in Microsoft 365 admin center.;microsoft.office365.knowledge/contentUnderstanding/analytics/allProperties/read;Global Administrator;Global Administrator(205), Knowledge Manager(11)
I need to read analytics reports of content understanding in Microsoft 365 admin center.;microsoft.office365.knowledge/contentUnderstanding/analytics/allProperties/read;Global Administrator;Global Administrator(205), Knowledge Manager(11)
I need to read analytics reports of content understanding in Microsoft 365 admin center.;microsoft.office365.knowledge/contentUnderstanding/analytics/allProperties/read;Global Administrator;Global Administrator(205), Knowledge Manager(11)
I need to read analytics reports of content understanding in Microsoft 365 admin center.;microsoft.office365.knowledge/contentUnderstanding/analytics/allProperties/read;Global Administrator;Global Administrator(205), Knowledge Manager(11)
I need to read all properties of private network connectors.;microsoft.directory/connectors/allProperties/read;Global Administrator;Global Administrator(205), Global Reader(95), Application Administrator(72), Global Secure Access Administrator(20)
I need to read all properties of private network connectors.;microsoft.directory/connectors/allProperties/read;Global Administrator;Global Administrator(205), Global Reader(95), Application Administrator(72), Global Secure Access Administrator(20)
I need to read all properties of private network connectors.;microsoft.directory/connectors/allProperties/read;Global Administrator;Global Administrator(205), Global Reader(95), Application Administrator(72), Global Secure Access Administrator(20)
I need to read all properties of private network connectors.;microsoft.directory/connectors/allProperties/read;Global Administrator;Global Administrator(205), Global Reader(95), Application Administrator(72), Global Secure Access Administrator(20)
I need to read all properties of private network connectors.;microsoft.directory/connectors/allProperties/read;Global Administrator;Global Administrator(205), Global Reader(95), Application Administrator(72), Global Secure Access Administrator(20)
I need to manage aspects of Microsoft Graph Data Connect.;NONE;NONE;NONE
I need to manage aspects of Microsoft Graph Data Connect.;NONE;NONE;NONE
I need to manage aspects of Microsoft Graph Data Connect.;NONE;NONE;NONE
I need to manage aspects of Microsoft Graph Data Connect.;NONE;NONE;NONE
I need to manage aspects of Microsoft Graph Data Connect.;NONE;NONE;NONE
I need to manage access reviews of application role assignments in Microsoft Entra ID.;NONE;NONE;NONE
I need to manage access reviews of application role assignments in Microsoft Entra ID.;NONE;NONE;NONE
I need to manage access reviews of application role assignments in Microsoft Entra ID.;NONE;NONE;NONE
I need to manage access reviews of application role assignments in Microsoft Entra ID.;NONE;NONE;NONE
I need to manage access reviews of application role assignments in Microsoft Entra ID.;NONE;NONE;NONE
I need to manage all aspects of attribute sets.;microsoft.directory/attributeSets/allProperties/allTasks;Attribute Definition Administrator;Attribute Definition Administrator(2)
I need to manage all aspects of attribute sets.;microsoft.directory/attributeSets/allProperties/allTasks;Attribute Definition Administrator;Attribute Definition Administrator(2)
I need to manage all aspects of attribute sets.;microsoft.directory/attributeSets/allProperties/allTasks;Attribute Definition Administrator;Attribute Definition Administrator(2)
I need to manage all aspects of attribute sets.;microsoft.directory/attributeSets/allProperties/allTasks;Attribute Definition Administrator;Attribute Definition Administrator(2)
I need to manage all aspects of attribute sets.;microsoft.directory/attributeSets/allProperties/allTasks;Attribute Definition Administrator;Attribute Definition Administrator(2)
I need to delete certificate authority configurations for Internet of Things (IoT) device.;microsoft.directory/certificateBasedDeviceAuthConfigurations/delete;IoT Device Administrator;IoT Device Administrator(10)
I need to delete certificate authority configurations for Internet of Things (IoT) device.;microsoft.directory/certificateBasedDeviceAuthConfigurations/delete;IoT Device Administrator;IoT Device Administrator(10)
I need to delete certificate authority configurations for Internet of Things (IoT) device.;microsoft.directory/certificateBasedDeviceAuthConfigurations/delete;IoT Device Administrator;IoT Device Administrator(10)
I need to delete certificate authority configurations for Internet of Things (IoT) device.;microsoft.directory/certificateBasedDeviceAuthConfigurations/delete;IoT Device Administrator;IoT Device Administrator(10)
I need to delete certificate authority configurations for Internet of Things (IoT) device.;microsoft.directory/certificateBasedDeviceAuthConfigurations/delete;IoT Device Administrator;IoT Device Administrator(10)
I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.;microsoft.directory/groups.security/dynamicMembershipRule/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.;microsoft.directory/groups.security/dynamicMembershipRule/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.;microsoft.directory/groups.security/dynamicMembershipRule/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.;microsoft.directory/groups.security/dynamicMembershipRule/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.;microsoft.directory/groups.security/dynamicMembershipRule/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
I need to read basic properties on devices.;microsoft.directory/devices/allProperties/read;Global Reader;Global Reader(95)
I need to read basic properties on devices.;microsoft.directory/devices/allProperties/read;Global Reader;Global Reader(95)
I need to read basic properties on devices.;microsoft.directory/devices/allProperties/read;Global Reader;Global Reader(95)
I need to read basic properties on devices.;microsoft.directory/devices/allProperties/read;Global Reader;Global Reader(95)
I need to read basic properties on devices.;microsoft.directory/devices/allProperties/read;Global Reader;Global Reader(95)
I need to update basic properties of printers in Microsoft Print.;microsoft.azure.print/printers/basic/update;Printer Technician;Printer Technician(5)
I need to update basic properties of printers in Microsoft Print.;microsoft.azure.print/printers/basic/update;Printer Technician;Printer Technician(5)
I need to update basic properties of printers in Microsoft Print.;microsoft.azure.print/printers/basic/update;Printer Technician;Printer Technician(5)
I need to update basic properties of printers in Microsoft Print.;microsoft.azure.print/printers/basic/update;Printer Technician;Printer Technician(5)
I need to update basic properties of printers in Microsoft Print.;microsoft.azure.print/printers/basic/update;Printer Technician;Printer Technician(5)
I need to read all properties (including privileged properties) on all types of applications.;microsoft.directory/applications/allProperties/allTasks;Global Administrator;Global Administrator(205)
I need to read all properties (including privileged properties) on all types of applications.;microsoft.directory/applications/allProperties/allTasks;Global Administrator;Global Administrator(205)
I need to read all properties (including privileged properties) on all types of applications.;microsoft.directory/applications/allProperties/allTasks;Global Administrator;Global Administrator(205)
I need to read all properties (including privileged properties) on all types of applications.;microsoft.directory/applications/allProperties/allTasks;Global Administrator;Global Administrator(205)
I need to read all properties (including privileged properties) on all types of applications.;microsoft.directory/applications/allProperties/allTasks;Global Administrator;Global Administrator(205)
I need to create Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/create;Security Administrator;Security Administrator(80), Conditional Access Administrator(13)
I need to create Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/create;Security Administrator;Security Administrator(80), Conditional Access Administrator(13)
I need to create Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/create;Security Administrator;Security Administrator(80), Conditional Access Administrator(13)
I need to create Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/create;Security Administrator;Security Administrator(80), Conditional Access Administrator(13)
I need to create Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/create;Security Administrator;Security Administrator(80), Conditional Access Administrator(13)
I need to manage all aspects of Dynamics 365.;NONE;NONE;NONE
I need to manage all aspects of Dynamics 365.;NONE;NONE;NONE
I need to manage all aspects of Dynamics 365.;NONE;NONE;NONE
I need to manage all aspects of Dynamics 365.;NONE;NONE;NONE
I need to manage all aspects of Dynamics 365.;NONE;NONE;NONE
I need to create all types of applications.;microsoft.directory/applications/createAsOwner;Application Developer;Application Developer(3)
I need to create all types of applications.;microsoft.directory/applications/createAsOwner;Application Developer;Application Developer(3)
I need to create all types of applications.;microsoft.directory/applications/createAsOwner;Application Developer;Application Developer(3)
I need to create all types of applications.;microsoft.directory/applications/createAsOwner;Application Developer;Application Developer(3)
I need to create all types of applications.;microsoft.directory/applications/createAsOwner;Application Developer;Application Developer(3)
I need to read all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/basic/read;NONE;NONE
I need to read all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/basic/read;NONE;NONE
I need to read all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/basic/read;NONE;NONE
I need to read all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/basic/read;NONE;NONE
I need to read all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/basic/read;NONE;NONE
I need to perform the ``enable directory feature`` service action.;NONE;NONE;NONE
I need to perform the ``enable directory feature`` service action.;NONE;NONE;NONE
I need to perform the ``enable directory feature`` service action.;NONE;NONE;NONE
I need to perform the ``enable directory feature`` service action.;NONE;NONE;NONE
I need to perform the ``enable directory feature`` service action.;NONE;NONE;NONE
I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.;NONE;NONE;NONE
I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.;NONE;NONE;NONE
I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.;NONE;NONE;NONE
I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.;NONE;NONE;NONE
I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.;NONE;NONE;NONE
I need to manage all aspects of Azure Information Protection.;NONE;NONE;NONE
I need to manage all aspects of Azure Information Protection.;NONE;NONE;NONE
I need to manage all aspects of Azure Information Protection.;NONE;NONE;NONE
I need to manage all aspects of Azure Information Protection.;NONE;NONE;NONE
I need to manage all aspects of Azure Information Protection.;NONE;NONE;NONE
I need to read standard properties of all resources in the Security and Compliance centers.;NONE;NONE;NONE
I need to read standard properties of all resources in the Security and Compliance centers.;NONE;NONE;NONE
I need to read standard properties of all resources in the Security and Compliance centers.;NONE;NONE;NONE
I need to read standard properties of all resources in the Security and Compliance centers.;NONE;NONE;NONE
I need to read standard properties of all resources in the Security and Compliance centers.;NONE;NONE;NONE
I need to update the extensionAttribute11 to extensionAttribute15 properties on devices.;NONE;NONE;NONE
I need to update the extensionAttribute11 to extensionAttribute15 properties on devices.;NONE;NONE;NONE
I need to update the extensionAttribute11 to extensionAttribute15 properties on devices.;NONE;NONE;NONE
I need to update the extensionAttribute11 to extensionAttribute15 properties on devices.;NONE;NONE;NONE
I need to update the extensionAttribute11 to extensionAttribute15 properties on devices.;NONE;NONE;NONE
I need to update authentication properties on service principals.;microsoft.directory/servicePrincipals/authentication/update;Application Administrator;Application Administrator(72), Cloud Application Administrator(60), Hybrid Identity Administrator(60)
I need to update authentication properties on service principals.;microsoft.directory/servicePrincipals/authentication/update;Application Administrator;Application Administrator(72), Cloud Application Administrator(60), Hybrid Identity Administrator(60)
I need to update authentication properties on service principals.;microsoft.directory/servicePrincipals/authentication/update;Application Administrator;Application Administrator(72), Cloud Application Administrator(60), Hybrid Identity Administrator(60)
I need to update authentication properties on service principals.;microsoft.directory/servicePrincipals/authentication/update;Application Administrator;Application Administrator(72), Cloud Application Administrator(60), Hybrid Identity Administrator(60)
I need to update authentication properties on service principals.;microsoft.directory/servicePrincipals/authentication/update;Application Administrator;Application Administrator(72), Cloud Application Administrator(60), Hybrid Identity Administrator(60)
I need to update basic properties on devices.;microsoft.directory/devices/basic/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
I need to update basic properties on devices.;microsoft.directory/devices/basic/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
I need to update basic properties on devices.;microsoft.directory/devices/basic/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
I need to update basic properties on devices.;microsoft.directory/devices/basic/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
I need to update basic properties on devices.;microsoft.directory/devices/basic/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
I need to read service principal role assignments.;microsoft.directory/servicePrincipals/appRoleAssignments/read;Directory Readers;Directory Readers(54)
I need to read service principal role assignments.;microsoft.directory/servicePrincipals/appRoleAssignments/read;Directory Readers;Directory Readers(54)
I need to read service principal role assignments.;microsoft.directory/servicePrincipals/appRoleAssignments/read;Directory Readers;Directory Readers(54)
I need to read service principal role assignments.;microsoft.directory/servicePrincipals/appRoleAssignments/read;Directory Readers;Directory Readers(54)
I need to read service principal role assignments.;microsoft.directory/servicePrincipals/appRoleAssignments/read;Directory Readers;Directory Readers(54)
I need to disable users.;microsoft.directory/users/disable;User Administrator;User Administrator(54), Partner Tier2 Support(45), Directory Writers(41), Partner Tier1 Support(39), Privileged Authentication Administrator(20), Authentication Administrator(19)
I need to disable users.;microsoft.directory/users/disable;User Administrator;User Administrator(54), Partner Tier2 Support(45), Directory Writers(41), Partner Tier1 Support(39), Privileged Authentication Administrator(20), Authentication Administrator(19)
I need to disable users.;microsoft.directory/users/disable;User Administrator;User Administrator(54), Partner Tier2 Support(45), Directory Writers(41), Partner Tier1 Support(39), Privileged Authentication Administrator(20), Authentication Administrator(19)
I need to disable users.;microsoft.directory/users/disable;User Administrator;User Administrator(54), Partner Tier2 Support(45), Directory Writers(41), Partner Tier1 Support(39), Privileged Authentication Administrator(20), Authentication Administrator(19)
I need to disable users.;microsoft.directory/users/disable;User Administrator;User Administrator(54), Partner Tier2 Support(45), Directory Writers(41), Partner Tier1 Support(39), Privileged Authentication Administrator(20), Authentication Administrator(19)
I need to update basic federation configuration for domains.;microsoft.directory/domains/federationConfiguration/basic/update;Global Administrator;Global Administrator(205), Security Administrator(80), Hybrid Identity Administrator(60)
I need to update basic federation configuration for domains.;microsoft.directory/domains/federationConfiguration/basic/update;Global Administrator;Global Administrator(205), Security Administrator(80), Hybrid Identity Administrator(60)
I need to update basic federation configuration for domains.;microsoft.directory/domains/federationConfiguration/basic/update;Global Administrator;Global Administrator(205), Security Administrator(80), Hybrid Identity Administrator(60)
I need to update basic federation configuration for domains.;microsoft.directory/domains/federationConfiguration/basic/update;Global Administrator;Global Administrator(205), Security Administrator(80), Hybrid Identity Administrator(60)
I need to update basic federation configuration for domains.;microsoft.directory/domains/federationConfiguration/basic/update;Global Administrator;Global Administrator(205), Security Administrator(80), Hybrid Identity Administrator(60)
I need to read trusted certificate authorities for passwordless authentication.;NONE;NONE;NONE
I need to read trusted certificate authorities for passwordless authentication.;NONE;NONE;NONE
I need to read trusted certificate authorities for passwordless authentication.;NONE;NONE;NONE
I need to read trusted certificate authorities for passwordless authentication.;NONE;NONE;NONE
I need to read trusted certificate authorities for passwordless authentication.;NONE;NONE;NONE
I need to read the eligible members of Microsoft Entra roles.;microsoft.directory/directoryRoles/eligibleMembers/read;Directory Readers;Directory Readers(54)
I need to read the eligible members of Microsoft Entra roles.;microsoft.directory/directoryRoles/eligibleMembers/read;Directory Readers;Directory Readers(54)
I need to read the eligible members of Microsoft Entra roles.;microsoft.directory/directoryRoles/eligibleMembers/read;Directory Readers;Directory Readers(54)
I need to read the eligible members of Microsoft Entra roles.;microsoft.directory/directoryRoles/eligibleMembers/read;Directory Readers;Directory Readers(54)
I need to read the eligible members of Microsoft Entra roles.;microsoft.directory/directoryRoles/eligibleMembers/read;Directory Readers;Directory Readers(54)
I need to read application role assignments of groups.;microsoft.directory/groups/appRoleAssignments/read;Directory Readers;Directory Readers(54)
I need to read application role assignments of groups.;microsoft.directory/groups/appRoleAssignments/read;Directory Readers;Directory Readers(54)
I need to read application role assignments of groups.;microsoft.directory/groups/appRoleAssignments/read;Directory Readers;Directory Readers(54)
I need to read application role assignments of groups.;microsoft.directory/groups/appRoleAssignments/read;Directory Readers;Directory Readers(54)
I need to read application role assignments of groups.;microsoft.directory/groups/appRoleAssignments/read;Directory Readers;Directory Readers(54)
I need to read all properties for Defender for Cloud Apps.;NONE;NONE;NONE
I need to read all properties for Defender for Cloud Apps.;NONE;NONE;NONE
I need to read all properties for Defender for Cloud Apps.;NONE;NONE;NONE
I need to read all properties for Defender for Cloud Apps.;NONE;NONE;NONE
I need to read all properties for Defender for Cloud Apps.;NONE;NONE;NONE
I need to manage all aspects of Microsoft 365 Backup.;microsoft.backup/allEntities/allProperties/allTasks;Global Administrator;Global Administrator(205), Microsoft 365 Backup Administrator(8)
I need to manage all aspects of Microsoft 365 Backup.;microsoft.backup/allEntities/allProperties/allTasks;Global Administrator;Global Administrator(205), Microsoft 365 Backup Administrator(8)
I need to manage all aspects of Microsoft 365 Backup.;microsoft.backup/allEntities/allProperties/allTasks;Global Administrator;Global Administrator(205), Microsoft 365 Backup Administrator(8)
I need to manage all aspects of Microsoft 365 Backup.;microsoft.backup/allEntities/allProperties/allTasks;Global Administrator;Global Administrator(205), Microsoft 365 Backup Administrator(8)
I need to manage all aspects of Microsoft 365 Backup.;microsoft.backup/allEntities/allProperties/allTasks;Global Administrator;Global Administrator(205), Microsoft 365 Backup Administrator(8)
I need to read and update what's new messages visibility.;NONE;NONE;NONE
I need to read and update what's new messages visibility.;NONE;NONE;NONE
I need to read and update what's new messages visibility.;NONE;NONE;NONE
I need to read and update what's new messages visibility.;NONE;NONE;NONE
I need to read and update what's new messages visibility.;NONE;NONE;NONE
I need to update extension properties on applications.;microsoft.directory/applications/extensionProperties/update;Application Administrator;Application Administrator(72), Cloud Application Administrator(60), Directory Writers(41)
I need to update extension properties on applications.;microsoft.directory/applications/extensionProperties/update;Application Administrator;Application Administrator(72), Cloud Application Administrator(60), Directory Writers(41)
I need to update extension properties on applications.;microsoft.directory/applications/extensionProperties/update;Application Administrator;Application Administrator(72), Cloud Application Administrator(60), Directory Writers(41)
I need to update extension properties on applications.;microsoft.directory/applications/extensionProperties/update;Application Administrator;Application Administrator(72), Cloud Application Administrator(60), Directory Writers(41)
I need to update extension properties on applications.;microsoft.directory/applications/extensionProperties/update;Application Administrator;Application Administrator(72), Cloud Application Administrator(60), Directory Writers(41)
I need to update Microsoft Entra B2B collaboration settings of cross-tenant access policy for partners.;microsoft.directory/crossTenantAccessPolicy/partners/b2bCollaboration/update;Global Administrator;Global Administrator(205), Security Administrator(80)
