request;permission;role;Candidate_Roles
"""I need to read standard properties of federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/standard/read;Global Administrator;Global Administrator(205), Global Reader(95), Security Administrator(80), Hybrid Identity Administrator(60), Security Reader(32)
"""I need to read standard properties of federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/standard/read;Global Administrator;Global Administrator(205), Global Reader(95), Security Administrator(80), Hybrid Identity Administrator(60), Security Reader(32)
"""I need to deploy and manage programs in Insights app.""";NONE;NONE;NONE
"""I need to deploy and manage programs in Insights app.""";NONE;NONE;NONE
"""I need to deploy and manage programs in Insights app.""";NONE;NONE;NONE
"""I need to deploy and manage programs in Insights app.""";NONE;NONE;NONE
"""I need to deploy and manage programs in Insights app.""";NONE;NONE;NONE
"""I need to manage admin consent request policies in Microsoft Entra ID.""";microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Global Administrator;Global Administrator(205), Application Administrator(72), Cloud Application Administrator(60)
"""I need to manage admin consent request policies in Microsoft Entra ID.""";microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Global Administrator;Global Administrator(205), Application Administrator(72), Cloud Application Administrator(60)
"""I need to manage admin consent request policies in Microsoft Entra ID.""";microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Global Administrator;Global Administrator(205), Application Administrator(72), Cloud Application Administrator(60)
"""I need to manage admin consent request policies in Microsoft Entra ID.""";microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Global Administrator;Global Administrator(205), Application Administrator(72), Cloud Application Administrator(60)
"""I need to manage admin consent request policies in Microsoft Entra ID.""";microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Global Administrator;Global Administrator(205), Application Administrator(72), Cloud Application Administrator(60)
"""I need to read basic properties of a tenant participating in a multi-tenant organization.""";microsoft.directory/multiTenantOrganization/tenants/standard/read;Global Administrator;Global Administrator(205), Global Reader(95), Security Administrator(80), Security Reader(32)
"""I need to read basic properties of a tenant participating in a multi-tenant organization.""";microsoft.directory/multiTenantOrganization/tenants/standard/read;Global Administrator;Global Administrator(205), Global Reader(95), Security Administrator(80), Security Reader(32)
"""I need to read basic properties of a tenant participating in a multi-tenant organization.""";microsoft.directory/multiTenantOrganization/tenants/standard/read;Global Administrator;Global Administrator(205), Global Reader(95), Security Administrator(80), Security Reader(32)
"""I need to read basic properties of a tenant participating in a multi-tenant organization.""";microsoft.directory/multiTenantOrganization/tenants/standard/read;Global Administrator;Global Administrator(205), Global Reader(95), Security Administrator(80), Security Reader(32)
"""I need to read basic properties of a tenant participating in a multi-tenant organization.""";microsoft.directory/multiTenantOrganization/tenants/standard/read;Global Administrator;Global Administrator(205), Global Reader(95), Security Administrator(80), Security Reader(32)
"""I need to read owners of policies.""";microsoft.directory/applications/owners/read;Directory Readers;Directory Readers(54), Global Secure Access Administrator(20)
"""I need to read owners of policies.""";microsoft.directory/applications/owners/read;Directory Readers;Directory Readers(54), Global Secure Access Administrator(20)
"""I need to read owners of policies.""";microsoft.directory/applications/owners/read;Directory Readers;Directory Readers(54), Global Secure Access Administrator(20)
"""I need to read owners of policies.""";microsoft.directory/applications/owners/read;Directory Readers;Directory Readers(54), Global Secure Access Administrator(20)
"""I need to read owners of policies.""";microsoft.directory/applications/owners/read;Directory Readers;Directory Readers(54), Global Secure Access Administrator(20)
"""I need to grant consent for any permission to any application.""";NONE;NONE;NONE
"""I need to grant consent for any permission to any application.""";NONE;NONE;NONE
"""I need to grant consent for any permission to any application.""";NONE;NONE;NONE
"""I need to grant consent for any permission to any application.""";NONE;NONE;NONE
"""I need to grant consent for any permission to any application.""";NONE;NONE;NONE
"""I need to read all properties of directory roles.""";microsoft.directory/directoryRoles/allProperties/read;Global Reader;Global Reader(95)
"""I need to read all properties of directory roles.""";microsoft.directory/directoryRoles/allProperties/read;Global Reader;Global Reader(95)
"""I need to read all properties of directory roles.""";microsoft.directory/directoryRoles/allProperties/read;Global Reader;Global Reader(95)
"""I need to read all properties of directory roles.""";microsoft.directory/directoryRoles/allProperties/read;Global Reader;Global Reader(95)
"""I need to read all properties of directory roles.""";microsoft.directory/directoryRoles/allProperties/read;Global Reader;Global Reader(95)
"""I need to read basic properties on an organization.""";microsoft.directory/organization/basic/read;NONE;NONE
"""I need to read basic properties on an organization.""";microsoft.directory/organization/basic/read;NONE;NONE
"""I need to read basic properties on an organization.""";microsoft.directory/organization/basic/read;NONE;NONE
"""I need to read basic properties on an organization.""";microsoft.directory/organization/basic/read;NONE;NONE
"""I need to read basic properties on an organization.""";microsoft.directory/organization/basic/read;NONE;NONE
"""I need to disable service principals.""";NONE;NONE;NONE
"""I need to disable service principals.""";NONE;NONE;NONE
"""I need to disable service principals.""";NONE;NONE;NONE
"""I need to disable service principals.""";NONE;NONE;NONE
"""I need to disable service principals.""";NONE;NONE;NONE
"""I need to read policies.policyAppliedTo property.""";microsoft.directory/policies/allProperties/read;Global Reader;Global Reader(95)
"""I need to read policies.policyAppliedTo property.""";microsoft.directory/policies/allProperties/read;Global Reader;Global Reader(95)
"""I need to read policies.policyAppliedTo property.""";microsoft.directory/policies/allProperties/read;Global Reader;Global Reader(95)
"""I need to read policies.policyAppliedTo property.""";microsoft.directory/policies/allProperties/read;Global Reader;Global Reader(95)
"""I need to read policies.policyAppliedTo property.""";microsoft.directory/policies/allProperties/read;Global Reader;Global Reader(95)
"""I need to read all aspects of Viva Insights.""";NONE;NONE;NONE
"""I need to read all aspects of Viva Insights.""";NONE;NONE;NONE
"""I need to read all aspects of Viva Insights.""";NONE;NONE;NONE
"""I need to read all aspects of Viva Insights.""";NONE;NONE;NONE
"""I need to read all aspects of Viva Insights.""";NONE;NONE;NONE
"""I need to update custom security attribute values for devices.""";NONE;NONE;NONE
"""I need to update custom security attribute values for devices.""";NONE;NONE;NONE
"""I need to update custom security attribute values for devices.""";NONE;NONE;NONE
"""I need to update custom security attribute values for devices.""";NONE;NONE;NONE
"""I need to update custom security attribute values for devices.""";NONE;NONE;NONE
"""I need to create custom rules that define network locations.""";microsoft.directory/namedLocations/create;Global Administrator;Global Administrator(205), Security Administrator(80), Conditional Access Administrator(13)
"""I need to create custom rules that define network locations.""";microsoft.directory/namedLocations/create;Global Administrator;Global Administrator(205), Security Administrator(80), Conditional Access Administrator(13)
"""I need to create custom rules that define network locations.""";microsoft.directory/namedLocations/create;Global Administrator;Global Administrator(205), Security Administrator(80), Conditional Access Administrator(13)
"""I need to create custom rules that define network locations.""";microsoft.directory/namedLocations/create;Global Administrator;Global Administrator(205), Security Administrator(80), Conditional Access Administrator(13)
"""I need to create custom rules that define network locations.""";microsoft.directory/namedLocations/create;Global Administrator;Global Administrator(205), Security Administrator(80), Conditional Access Administrator(13)
"""I need to read members of administrative units.""";microsoft.directory/administrativeUnits/members/read;Directory Readers;Directory Readers(54)
"""I need to read members of administrative units.""";microsoft.directory/administrativeUnits/members/read;Directory Readers;Directory Readers(54)
"""I need to read members of administrative units.""";microsoft.directory/administrativeUnits/members/read;Directory Readers;Directory Readers(54)
"""I need to read members of administrative units.""";microsoft.directory/administrativeUnits/members/read;Directory Readers;Directory Readers(54)
"""I need to read members of administrative units.""";microsoft.directory/administrativeUnits/members/read;Directory Readers;Directory Readers(54)
"""I need to read analytics reports of content understanding in Microsoft 365 admin center.""";microsoft.insights/allEntities/allProperties/read;Global Reader;Global Reader(95)
"""I need to read analytics reports of content understanding in Microsoft 365 admin center.""";microsoft.insights/allEntities/allProperties/read;Global Reader;Global Reader(95)
"""I need to read analytics reports of content understanding in Microsoft 365 admin center.""";microsoft.insights/allEntities/allProperties/read;Global Reader;Global Reader(95)
"""I need to read analytics reports of content understanding in Microsoft 365 admin center.""";microsoft.insights/allEntities/allProperties/read;Global Reader;Global Reader(95)
"""I need to read analytics reports of content understanding in Microsoft 365 admin center.""";microsoft.insights/allEntities/allProperties/read;Global Reader;Global Reader(95)
"""I need to read all properties of private network connectors.""";microsoft.networkAccess/allEntities/allProperties/read;Global Reader;Global Reader(95), Security Reader(32)
"""I need to read all properties of private network connectors.""";microsoft.networkAccess/allEntities/allProperties/read;Global Reader;Global Reader(95), Security Reader(32)
"""I need to read all properties of private network connectors.""";microsoft.networkAccess/allEntities/allProperties/read;Global Reader;Global Reader(95), Security Reader(32)
"""I need to read all properties of private network connectors.""";microsoft.networkAccess/allEntities/allProperties/read;Global Reader;Global Reader(95), Security Reader(32)
"""I need to read all properties of private network connectors.""";microsoft.networkAccess/allEntities/allProperties/read;Global Reader;Global Reader(95), Security Reader(32)
"""I need to manage aspects of Microsoft Graph Data Connect.""";microsoft.graph.dataConnect/allEntities/allProperties/allTasks;Global Administrator;Global Administrator(205)
"""I need to manage aspects of Microsoft Graph Data Connect.""";microsoft.graph.dataConnect/allEntities/allProperties/allTasks;Global Administrator;Global Administrator(205)
"""I need to manage aspects of Microsoft Graph Data Connect.""";microsoft.graph.dataConnect/allEntities/allProperties/allTasks;Global Administrator;Global Administrator(205)
"""I need to manage aspects of Microsoft Graph Data Connect.""";microsoft.graph.dataConnect/allEntities/allProperties/allTasks;Global Administrator;Global Administrator(205)
"""I need to manage aspects of Microsoft Graph Data Connect.""";microsoft.graph.dataConnect/allEntities/allProperties/allTasks;Global Administrator;Global Administrator(205)
"""I need to manage access reviews of application role assignments in Microsoft Entra ID.""";microsoft.directory/accessReviews/definitions.applications/allProperties/allTasks;User Administrator;User Administrator(54), Identity Governance Administrator(10)
"""I need to manage access reviews of application role assignments in Microsoft Entra ID.""";microsoft.directory/accessReviews/definitions.applications/allProperties/allTasks;User Administrator;User Administrator(54), Identity Governance Administrator(10)
"""I need to manage access reviews of application role assignments in Microsoft Entra ID.""";microsoft.directory/accessReviews/definitions.applications/allProperties/allTasks;User Administrator;User Administrator(54), Identity Governance Administrator(10)
"""I need to manage access reviews of application role assignments in Microsoft Entra ID.""";microsoft.directory/accessReviews/definitions.applications/allProperties/allTasks;User Administrator;User Administrator(54), Identity Governance Administrator(10)
"""I need to manage access reviews of application role assignments in Microsoft Entra ID.""";microsoft.directory/accessReviews/definitions.applications/allProperties/allTasks;User Administrator;User Administrator(54), Identity Governance Administrator(10)
"""I need to manage all aspects of attribute sets.""";microsoft.directory/servicePrincipals/synchronization.customSecurityAttributes/schema/update;Attribute Provisioning Administrator;Attribute Provisioning Administrator(2)
"""I need to manage all aspects of attribute sets.""";microsoft.directory/servicePrincipals/synchronization.customSecurityAttributes/schema/update;Attribute Provisioning Administrator;Attribute Provisioning Administrator(2)
"""I need to manage all aspects of attribute sets.""";microsoft.directory/servicePrincipals/synchronization.customSecurityAttributes/schema/update;Attribute Provisioning Administrator;Attribute Provisioning Administrator(2)
"""I need to manage all aspects of attribute sets.""";microsoft.directory/servicePrincipals/synchronization.customSecurityAttributes/schema/update;Attribute Provisioning Administrator;Attribute Provisioning Administrator(2)
"""I need to manage all aspects of attribute sets.""";microsoft.directory/servicePrincipals/synchronization.customSecurityAttributes/schema/update;Attribute Provisioning Administrator;Attribute Provisioning Administrator(2)
"""I need to delete certificate authority configurations for Internet of Things (IoT) device.""";microsoft.directory/certificateBasedDeviceAuthConfigurations/delete;IoT Device Administrator;IoT Device Administrator(10)
"""I need to delete certificate authority configurations for Internet of Things (IoT) device.""";microsoft.directory/certificateBasedDeviceAuthConfigurations/delete;IoT Device Administrator;IoT Device Administrator(10)
"""I need to delete certificate authority configurations for Internet of Things (IoT) device.""";microsoft.directory/certificateBasedDeviceAuthConfigurations/delete;IoT Device Administrator;IoT Device Administrator(10)
"""I need to delete certificate authority configurations for Internet of Things (IoT) device.""";microsoft.directory/certificateBasedDeviceAuthConfigurations/delete;IoT Device Administrator;IoT Device Administrator(10)
"""I need to delete certificate authority configurations for Internet of Things (IoT) device.""";microsoft.directory/certificateBasedDeviceAuthConfigurations/delete;IoT Device Administrator;IoT Device Administrator(10)
"""I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.""";microsoft.directory/groups.security/dynamicMembershipRule/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
"""I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.""";microsoft.directory/groups.security/dynamicMembershipRule/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
"""I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.""";microsoft.directory/groups.security/dynamicMembershipRule/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
"""I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.""";microsoft.directory/groups.security/dynamicMembershipRule/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
"""I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.""";microsoft.directory/groups.security/dynamicMembershipRule/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
"""I need to read basic properties on devices.""";microsoft.directory/devices/basic/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
"""I need to read basic properties on devices.""";microsoft.directory/devices/basic/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
"""I need to read basic properties on devices.""";microsoft.directory/devices/basic/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
"""I need to read basic properties on devices.""";microsoft.directory/devices/basic/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
"""I need to read basic properties on devices.""";microsoft.directory/devices/basic/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
"""I need to update basic properties of printers in Microsoft Print.""";microsoft.print/printers/basic/update;NONE;NONE
"""I need to update basic properties of printers in Microsoft Print.""";microsoft.print/printers/basic/update;NONE;NONE
"""I need to update basic properties of printers in Microsoft Print.""";microsoft.print/printers/basic/update;NONE;NONE
"""I need to update basic properties of printers in Microsoft Print.""";microsoft.print/printers/basic/update;NONE;NONE
"""I need to update basic properties of printers in Microsoft Print.""";microsoft.print/printers/basic/update;NONE;NONE
"""I need to read all properties (including privileged properties) on all types of applications.""";microsoft.directory/applications/allProperties/read;Global Reader;Global Reader(95)
"""I need to read all properties (including privileged properties) on all types of applications.""";microsoft.directory/applications/allProperties/read;Global Reader;Global Reader(95)
"""I need to read all properties (including privileged properties) on all types of applications.""";microsoft.directory/applications/allProperties/read;Global Reader;Global Reader(95)
"""I need to read all properties (including privileged properties) on all types of applications.""";microsoft.directory/applications/allProperties/read;Global Reader;Global Reader(95)
"""I need to read all properties (including privileged properties) on all types of applications.""";microsoft.directory/applications/allProperties/read;Global Reader;Global Reader(95)
"""I need to create Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/allProperties/read;Global Reader;Global Reader(95)
"""I need to create Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/allProperties/read;Global Reader;Global Reader(95)
"""I need to create Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/allProperties/read;Global Reader;Global Reader(95)
"""I need to create Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/allProperties/read;Global Reader;Global Reader(95)
"""I need to create Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/allProperties/read;Global Reader;Global Reader(95)
"""I need to manage all aspects of Dynamics 365.""";NONE;NONE;NONE
"""I need to manage all aspects of Dynamics 365.""";NONE;NONE;NONE
"""I need to manage all aspects of Dynamics 365.""";NONE;NONE;NONE
"""I need to manage all aspects of Dynamics 365.""";NONE;NONE;NONE
"""I need to manage all aspects of Dynamics 365.""";NONE;NONE;NONE
"""I need to create all types of applications.""";microsoft.directory/applications/create;Application Administrator;Application Administrator(72), Cloud Application Administrator(60), Hybrid Identity Administrator(60)
"""I need to create all types of applications.""";microsoft.directory/applications/create;Application Administrator;Application Administrator(72), Cloud Application Administrator(60), Hybrid Identity Administrator(60)
"""I need to create all types of applications.""";microsoft.directory/applications/create;Application Administrator;Application Administrator(72), Cloud Application Administrator(60), Hybrid Identity Administrator(60)
"""I need to create all types of applications.""";microsoft.directory/applications/create;Application Administrator;Application Administrator(72), Cloud Application Administrator(60), Hybrid Identity Administrator(60)
"""I need to create all types of applications.""";microsoft.directory/applications/create;Application Administrator;Application Administrator(72), Cloud Application Administrator(60), Hybrid Identity Administrator(60)
"""I need to read all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/allProperties/read;Global Reader;Global Reader(95)
"""I need to read all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/allProperties/read;Global Reader;Global Reader(95)
"""I need to read all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/allProperties/read;Global Reader;Global Reader(95)
"""I need to read all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/allProperties/read;Global Reader;Global Reader(95)
"""I need to read all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/allProperties/read;Global Reader;Global Reader(95)
"""I need to perform the ``enable directory feature`` service action.""";NONE;NONE;NONE
"""I need to perform the ``enable directory feature`` service action.""";NONE;NONE;NONE
"""I need to perform the ``enable directory feature`` service action.""";NONE;NONE;NONE
"""I need to perform the ``enable directory feature`` service action.""";NONE;NONE;NONE
"""I need to perform the ``enable directory feature`` service action.""";NONE;NONE;NONE
"""I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.""";microsoft.directory/crossTenantAccessPolicy/default/b2bDirectConnect/update;Global Administrator;Global Administrator(205), Security Administrator(80)
"""I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.""";microsoft.directory/crossTenantAccessPolicy/default/b2bDirectConnect/update;Global Administrator;Global Administrator(205), Security Administrator(80)
"""I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.""";microsoft.directory/crossTenantAccessPolicy/default/b2bDirectConnect/update;Global Administrator;Global Administrator(205), Security Administrator(80)
"""I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.""";microsoft.directory/crossTenantAccessPolicy/default/b2bDirectConnect/update;Global Administrator;Global Administrator(205), Security Administrator(80)
"""I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.""";microsoft.directory/crossTenantAccessPolicy/default/b2bDirectConnect/update;Global Administrator;Global Administrator(205), Security Administrator(80)
"""I need to manage all aspects of Azure Information Protection.""";microsoft.informationProtection/allEntities/allTasks;NONE;NONE
"""I need to manage all aspects of Azure Information Protection.""";microsoft.informationProtection/allEntities/allTasks;NONE;NONE
"""I need to manage all aspects of Azure Information Protection.""";microsoft.informationProtection/allEntities/allTasks;NONE;NONE
"""I need to manage all aspects of Azure Information Protection.""";microsoft.informationProtection/allEntities/allTasks;NONE;NONE
"""I need to manage all aspects of Azure Information Protection.""";microsoft.informationProtection/allEntities/allTasks;NONE;NONE
"""I need to read standard properties of all resources in the Security and Compliance centers.""";microsoft.office365.securityComplianceCenter/allEntities/read;Global Reader;Global Reader(95)
"""I need to read standard properties of all resources in the Security and Compliance centers.""";microsoft.office365.securityComplianceCenter/allEntities/read;Global Reader;Global Reader(95)
"""I need to read standard properties of all resources in the Security and Compliance centers.""";microsoft.office365.securityComplianceCenter/allEntities/read;Global Reader;Global Reader(95)
"""I need to read standard properties of all resources in the Security and Compliance centers.""";microsoft.office365.securityComplianceCenter/allEntities/read;Global Reader;Global Reader(95)
"""I need to read standard properties of all resources in the Security and Compliance centers.""";microsoft.office365.securityComplianceCenter/allEntities/read;Global Reader;Global Reader(95)
"""I need to update the extensionAttribute11 to extensionAttribute15 properties on devices.""";microsoft.directory/devices/basic/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
"""I need to update the extensionAttribute11 to extensionAttribute15 properties on devices.""";microsoft.directory/devices/basic/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
"""I need to update the extensionAttribute11 to extensionAttribute15 properties on devices.""";microsoft.directory/devices/basic/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
"""I need to update the extensionAttribute11 to extensionAttribute15 properties on devices.""";microsoft.directory/devices/basic/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
"""I need to update the extensionAttribute11 to extensionAttribute15 properties on devices.""";microsoft.directory/devices/basic/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
"""I need to update authentication properties on service principals.""";microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/credentials/manage;Global Administrator;Global Administrator(205), Application Administrator(72), Cloud Application Administrator(60), Hybrid Identity Administrator(60), Directory Writers(41)
"""I need to update authentication properties on service principals.""";microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/credentials/manage;Global Administrator;Global Administrator(205), Application Administrator(72), Cloud Application Administrator(60), Hybrid Identity Administrator(60), Directory Writers(41)
"""I need to update authentication properties on service principals.""";microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/credentials/manage;Global Administrator;Global Administrator(205), Application Administrator(72), Cloud Application Administrator(60), Hybrid Identity Administrator(60), Directory Writers(41)
"""I need to update authentication properties on service principals.""";microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/credentials/manage;Global Administrator;Global Administrator(205), Application Administrator(72), Cloud Application Administrator(60), Hybrid Identity Administrator(60), Directory Writers(41)
"""I need to update authentication properties on service principals.""";microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/credentials/manage;Global Administrator;Global Administrator(205), Application Administrator(72), Cloud Application Administrator(60), Hybrid Identity Administrator(60), Directory Writers(41)
"""I need to update basic properties on devices.""";microsoft.directory/devices/basic/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
"""I need to update basic properties on devices.""";microsoft.directory/devices/basic/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
"""I need to update basic properties on devices.""";microsoft.directory/devices/basic/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
"""I need to update basic properties on devices.""";microsoft.directory/devices/basic/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
"""I need to update basic properties on devices.""";microsoft.directory/devices/basic/update;Intune Administrator;Intune Administrator(37), Windows 365 Administrator(27)
"""I need to read service principal role assignments.""";microsoft.directory/servicePrincipals/appRoleAssignedTo/read;Directory Readers;Directory Readers(54)
"""I need to read service principal role assignments.""";microsoft.directory/servicePrincipals/appRoleAssignedTo/read;Directory Readers;Directory Readers(54)
"""I need to read service principal role assignments.""";microsoft.directory/servicePrincipals/appRoleAssignedTo/read;Directory Readers;Directory Readers(54)
"""I need to read service principal role assignments.""";microsoft.directory/servicePrincipals/appRoleAssignedTo/read;Directory Readers;Directory Readers(54)
"""I need to read service principal role assignments.""";microsoft.directory/servicePrincipals/appRoleAssignedTo/read;Directory Readers;Directory Readers(54)
"""I need to disable users.""";microsoft.directory/users/disable;User Administrator;User Administrator(54), Partner Tier2 Support(45), Directory Writers(41), Partner Tier1 Support(39), Privileged Authentication Administrator(20), Authentication Administrator(19)
"""I need to disable users.""";microsoft.directory/users/disable;User Administrator;User Administrator(54), Partner Tier2 Support(45), Directory Writers(41), Partner Tier1 Support(39), Privileged Authentication Administrator(20), Authentication Administrator(19)
"""I need to disable users.""";microsoft.directory/users/disable;User Administrator;User Administrator(54), Partner Tier2 Support(45), Directory Writers(41), Partner Tier1 Support(39), Privileged Authentication Administrator(20), Authentication Administrator(19)
"""I need to disable users.""";microsoft.directory/users/disable;User Administrator;User Administrator(54), Partner Tier2 Support(45), Directory Writers(41), Partner Tier1 Support(39), Privileged Authentication Administrator(20), Authentication Administrator(19)
"""I need to disable users.""";microsoft.directory/users/disable;User Administrator;User Administrator(54), Partner Tier2 Support(45), Directory Writers(41), Partner Tier1 Support(39), Privileged Authentication Administrator(20), Authentication Administrator(19)
"""I need to update basic federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/basic/update;Global Administrator;Global Administrator(205), Security Administrator(80), Hybrid Identity Administrator(60)
"""I need to update basic federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/basic/update;Global Administrator;Global Administrator(205), Security Administrator(80), Hybrid Identity Administrator(60)
"""I need to update basic federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/basic/update;Global Administrator;Global Administrator(205), Security Administrator(80), Hybrid Identity Administrator(60)
"""I need to update basic federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/basic/update;Global Administrator;Global Administrator(205), Security Administrator(80), Hybrid Identity Administrator(60)
"""I need to update basic federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/basic/update;Global Administrator;Global Administrator(205), Security Administrator(80), Hybrid Identity Administrator(60)
"""I need to read trusted certificate authorities for passwordless authentication.""";microsoft.directory/organization/trustedCAsForPasswordlessAuth/read;Directory Readers;Directory Readers(54)
"""I need to read trusted certificate authorities for passwordless authentication.""";microsoft.directory/organization/trustedCAsForPasswordlessAuth/read;Directory Readers;Directory Readers(54)
"""I need to read trusted certificate authorities for passwordless authentication.""";microsoft.directory/organization/trustedCAsForPasswordlessAuth/read;Directory Readers;Directory Readers(54)
"""I need to read trusted certificate authorities for passwordless authentication.""";microsoft.directory/organization/trustedCAsForPasswordlessAuth/read;Directory Readers;Directory Readers(54)
"""I need to read trusted certificate authorities for passwordless authentication.""";microsoft.directory/organization/trustedCAsForPasswordlessAuth/read;Directory Readers;Directory Readers(54)
"""I need to read the eligible members of Microsoft Entra roles.""";microsoft.directory/directoryRoles/eligibleMembers/read;Directory Readers;Directory Readers(54)
"""I need to read the eligible members of Microsoft Entra roles.""";microsoft.directory/directoryRoles/eligibleMembers/read;Directory Readers;Directory Readers(54)
"""I need to read the eligible members of Microsoft Entra roles.""";microsoft.directory/directoryRoles/eligibleMembers/read;Directory Readers;Directory Readers(54)
"""I need to read the eligible members of Microsoft Entra roles.""";microsoft.directory/directoryRoles/eligibleMembers/read;Directory Readers;Directory Readers(54)
