request;permission;role
"""I need to read basic properties on devices.""";Device.ReadBasic.All;Directory Readers
"""I need to read basic properties on devices.""";Device.ReadBasic.All;Directory Readers
"""I need to read basic properties on devices.""";Device.ReadBasic.All;Directory Readers
"""I need to read basic properties on devices.""";Device.ReadBasic.All;Directory Readers
"""I need to update basic properties of printers in Microsoft Print.""";microsoft.print/printers/basic/update;Print Administrator
"""I need to update basic properties of printers in Microsoft Print.""";microsoft.print/printers/basic/update;Print Administrator
"""I need to update basic properties of printers in Microsoft Print.""";microsoft.print/printers/basic/update;Print Administrator
"""I need to update basic properties of printers in Microsoft Print.""";microsoft.print/printers/basic/update;Print Administrator
"""I need to update basic properties of printers in Microsoft Print.""";microsoft.print/printers/basic/update;Print Administrator
"""I need to read all properties (including privileged properties) on all types of applications.""";Application.ReadWrite.All;Application Administrator
"""I need to read all properties (including privileged properties) on all types of applications.""";Application.ReadWrite.All;Application Administrator
"""I need to read all properties (including privileged properties) on all types of applications.""";Application.ReadWrite.All;Application Administrator
"""I need to read all properties (including privileged properties) on all types of applications.""";Application.ReadWrite.All;Application Administrator
"""I need to read all properties (including privileged properties) on all types of applications.""";Application.ReadWrite.All;Application Administrator
"""I need to create Conditional Access policies.""";microsoft.graph/conditionalAccessPolicy/create;Conditional Access Administrator
"""I need to create Conditional Access policies.""";microsoft.graph/conditionalAccessPolicy/create;Conditional Access Administrator
"""I need to create Conditional Access policies.""";microsoft.graph/conditionalAccessPolicy/create;Conditional Access Administrator
"""I need to create Conditional Access policies.""";microsoft.graph/conditionalAccessPolicy/create;Conditional Access Administrator
"""I need to create Conditional Access policies.""";microsoft.graph/conditionalAccessPolicy/create;Conditional Access Administrator
"""I need to manage all aspects of Dynamics 365.""";Microsoft.Dynamics365/.*/read;Dynamics 365 Administrator
"""I need to manage all aspects of Dynamics 365.""";Microsoft.Dynamics365/.*/read;Dynamics 365 Administrator
"""I need to manage all aspects of Dynamics 365.""";Microsoft.Dynamics365/.*/read;Dynamics 365 Administrator
"""I need to manage all aspects of Dynamics 365.""";Microsoft.Dynamics365/.*/read;Dynamics 365 Administrator
"""I need to manage all aspects of Dynamics 365.""";Microsoft.Dynamics365/.*/read;Dynamics 365 Administrator
"""I need to create all types of applications.""";application/create;Application Administrator
"""I need to create all types of applications.""";application/create;Application Administrator
"""I need to create all types of applications.""";application/create;Application Administrator
"""I need to create all types of applications.""";application/create;Application Administrator
"""I need to create all types of applications.""";application/create;Application Administrator
"""I need to read all properties of Conditional Access policies.""";policy/read;Conditional Access Administrator
"""I need to read all properties of Conditional Access policies.""";policy/read;Conditional Access Administrator
"""I need to read all properties of Conditional Access policies.""";policy/read;Conditional Access Administrator
"""I need to read all properties of Conditional Access policies.""";policy/read;Conditional Access Administrator
"""I need to read all properties of Conditional Access policies.""";policy/read;Conditional Access Administrator
"""I need to perform the ``enable directory feature`` service action.""";microsoft.directory/enableFeature;Directory Feature Administrator
"""I need to perform the ``enable directory feature`` service action.""";microsoft.directory/enableFeature;Directory Feature Administrator
"""I need to perform the ``enable directory feature`` service action.""";microsoft.directory/enableFeature;Directory Feature Administrator
"""I need to perform the ``enable directory feature`` service action.""";microsoft.directory/enableFeature;Directory Feature Administrator
"""I need to perform the ``enable directory feature`` service action.""";microsoft.directory/enableFeature;Directory Feature Administrator
"""I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.""";policy/readWrite;Cross-Tenant Access Policy Administrator
"""I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.""";policy/readWrite;Cross-Tenant Access Policy Administrator
"""I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.""";policy/readWrite;External ID User Flow Attribute Admin
"""I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.""";policy/readWrite;Cross-Tenant Access Policy Administrator
"""I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.""";policy/readWrite;Cross-Tenant Access Policy Administrator
"""I need to manage all aspects of Azure Information Protection.""";informationProtectionPolicies/read;Information Protection Administrator
"""I need to manage all aspects of Azure Information Protection.""";informationProtectionPolicies/read;Information Protection Administrator
"""I need to manage all aspects of Azure Information Protection.""";informationProtectionPolicies/read;Information Protection Administrator
"""I need to manage all aspects of Azure Information Protection.""";informationProtectionPolicies/read;Information Protection Administrator
"""I need to manage all aspects of Azure Information Protection.""";informationProtectionPolicies/read;Information Protection Administrator
"""I need to read standard properties of all resources in the Security and Compliance centers.""";ComplianceAdministrator/Read;Compliance Administrator
"""I need to read standard properties of all resources in the Security and Compliance centers.""";ComplianceAdministrator/Read;Compliance Administrator
"""I need to read standard properties of all resources in the Security and Compliance centers.""";ComplianceAdministrator/Read;Compliance Administrator
"""I need to read standard properties of all resources in the Security and Compliance centers.""";ComplianceAdministrator/Read;Compliance Administrator
"""I need to read standard properties of all resources in the Security and Compliance centers.""";ComplianceAdministrator/Read;Compliance Administrator
"""I need to update the extensionAttribute11 to extensionAttribute15 properties on devices.""";DeviceManagementConfiguration.ReadWrite.All;Intune Role Administrator
"""I need to update the extensionAttribute11 to extensionAttribute15 properties on devices.""";DeviceManagementConfiguration.ReadWrite.All;Intune Role Administrator
"""I need to update the extensionAttribute11 to extensionAttribute15 properties on devices.""";DeviceManagementConfiguration.ReadWrite.All;Intune Role Administrator
"""I need to update the extensionAttribute11 to extensionAttribute15 properties on devices.""";DeviceManagementConfiguration.ReadWrite.All;Intune Role Administrator
"""I need to update the extensionAttribute11 to extensionAttribute15 properties on devices.""";DeviceManagementConfiguration.ReadWrite.All;Intune Role Administrator
"""I need to update authentication properties on service principals.""";application/update;Application Administrator
"""I need to update authentication properties on service principals.""";application/update;Application Administrator
"""I need to update authentication properties on service principals.""";application/update;Application Administrator
"""I need to update authentication properties on service principals.""";application/update;Application Administrator
"""I need to update authentication properties on service principals.""";application/update;Application Administrator
"""I need to update basic properties on devices.""";DeviceManagementManagedDevices/Update;Intune Role Administrator
"""I need to update basic properties on devices.""";DeviceManagementManagedDevices/Update;Intune Role Administrator
"""I need to update basic properties on devices.""";DeviceManagementManagedDevices/Update;Intune Role Administrator
"""I need to update basic properties on devices.""";DeviceManagementManagedDevices/Update;Intune Role Administrator
"""I need to update basic properties on devices.""";DeviceManagementManagedDevices/Update;Intune Role Administrator
"""I need to read service principal role assignments.""";DirectoryRoleAssignment/Read;Directory Readers
"""I need to read service principal role assignments.""";DirectoryRoleAssignment/Read;Directory Readers
"""I need to read service principal role assignments.""";DirectoryRoleAssignment/Read;Directory Readers
"""I need to read service principal role assignments.""";DirectoryRoleAssignment/Read;Directory Readers
"""I need to read service principal role assignments.""";DirectoryRoleAssignment/Read;Directory Readers
"""I need to disable users.""";user/disable;User Administrator
"""I need to disable users.""";user/disable;User Administrator
"""I need to disable users.""";user/disable;User Administrator
"""I need to disable users.""";user/disable;User Administrator
"""I need to disable users.""";user/disable;User Administrator
"""I need to update basic federation configuration for domains.""";domain/federationConfiguration/update;Domain Federation Services Administrator
"""I need to update basic federation configuration for domains.""";domain/federationConfiguration/update;Domain Federation Services Administrator
"""I need to update basic federation configuration for domains.""";domain/federationConfiguration/update;Domain Federation Services Administrator
"""I need to update basic federation configuration for domains.""";domain/federationConfiguration/update;Domain Federation Services Administrator
"""I need to update basic federation configuration for domains.""";domain/federationConfiguration/update;Domain Federation Services Administrator
"""I need to read trusted certificate authorities for passwordless authentication.""";authenticationPolicy.read;Authentication Policy Administrator
"""I need to read trusted certificate authorities for passwordless authentication.""";authenticationPolicy.read;Authentication Policy Administrator
"""I need to read trusted certificate authorities for passwordless authentication.""";authenticationPolicy.read;Authentication Policy Administrator
"""I need to read trusted certificate authorities for passwordless authentication.""";authenticationPolicy.read;Authentication Policy Administrator
"""I need to read trusted certificate authorities for passwordless authentication.""";authenticationPolicy.read;Authentication Policy Administrator
"""I need to read the eligible members of Microsoft Entra roles.""";microsoft.graph/roleManagementDirectory/role/eligibleMembers/read;Directory Readers
"""I need to read the eligible members of Microsoft Entra roles.""";microsoft.graph/roleManagementDirectory/role/eligibleMembers/read;Directory Readers
"""I need to read the eligible members of Microsoft Entra roles.""";microsoft.graph/roleManagementDirectory/role/eligibleMembers/read;Directory Readers
"""I need to read the eligible members of Microsoft Entra roles.""";microsoft.graph/roleManagementDirectory/role/eligibleMembers/read;Directory Readers
"""I need to read the eligible members of Microsoft Entra roles.""";microsoft.graph/roleManagementDirectory/role/eligibleMembers/read;Directory Readers
"""I need to read application role assignments of groups.""";Directory/Read:RoleAssignment;Directory Readers
"""I need to read application role assignments of groups.""";Directory/Read:RoleAssignment;Directory Readers
"""I need to read application role assignments of groups.""";Directory/Read:RoleAssignment;Directory Readers
"""I need to read application role assignments of groups.""";Directory/Read:RoleAssignment;Directory Readers
"""I need to read application role assignments of groups.""";Directory/Read:RoleAssignment;Directory Readers
"""I need to read all properties for Defender for Cloud Apps.""";SecurityAttestation/read;Security Reader
"""I need to read all properties for Defender for Cloud Apps.""";SecurityAttestation/read;Security Reader
"""I need to read all properties for Defender for Cloud Apps.""";SecurityAttestation/read;Security Reader
"""I need to read all properties for Defender for Cloud Apps.""";SecurityAttestation/read;Security Reader
"""I need to read all properties for Defender for Cloud Apps.""";SecurityAttestation/read;Security Reader
"""I need to manage all aspects of Microsoft 365 Backup.""";Microsoft365Backup/manage;Backup Administrator
"""I need to manage all aspects of Microsoft 365 Backup.""";Microsoft365Backup/manage;Backup Administrator
"""I need to manage all aspects of Microsoft 365 Backup.""";Microsoft365Backup/manage;Backup Administrator
"""I need to manage all aspects of Microsoft 365 Backup.""";Microsoft365Backup/manage;Backup Administrator
"""I need to manage all aspects of Microsoft 365 Backup.""";Microsoft365Backup/manage;Backup Administrator
"""I need to read and update what's new messages visibility.""";user/read;User Administrator
"""I need to read and update what's new messages visibility.""";user/read;User Administrator
"""I need to read and update what's new messages visibility.""";user/read;User Administrator
"""I need to read and update what's new messages visibility.""";user/read;User Administrator
"""I need to read and update what's new messages visibility.""";user/read;User Administrator
"""I need to update extension properties on applications.""";application/update;Application Administrator
"""I need to update extension properties on applications.""";application/update;Application Administrator
"""I need to update extension properties on applications.""";application/update;Application Administrator
"""I need to update extension properties on applications.""";application/update;Application Administrator
"""I need to update extension properties on applications.""";application/update;Application Administrator
"""I need to update Microsoft Entra B2B collaboration settings of cross-tenant access policy for partners.""";b2bExternalCollaborationSettings/readWrite;B2B External User Invitation Manager
"""I need to update Microsoft Entra B2B collaboration settings of cross-tenant access policy for partners.""";b2bExternalCollaborationSettings/readWrite;B2B External User Invitation Manager
"""I need to update Microsoft Entra B2B collaboration settings of cross-tenant access policy for partners.""";b2bExternalCollaborationSettings/readWrite;B2B External User Invitation Manager
"""I need to update Microsoft Entra B2B collaboration settings of cross-tenant access policy for partners.""";b2bExternalCollaborationSettings/readWrite;B2B External User Invitation Manager
"""I need to update Microsoft Entra B2B collaboration settings of cross-tenant access policy for partners.""";b2bExternalCollaborationSettings/readWrite;B2B External User Invitation Manager
"""I need to read the group memberships on service principals.""";Directory/Read:All Properties;Directory Readers
"""I need to read the group memberships on service principals.""";Directory/Read:All Properties;Directory Readers
"""I need to read the group memberships on service principals.""";Directory/Read:All Properties;Directory Readers
"""I need to read the group memberships on service principals.""";Directory/Read:All Properties;Directory Readers
"""I need to read the group memberships on service principals.""";Directory/Read:All Properties;Directory Readers
"""I need to disable devices in Microsoft Entra ID.""";device/disable;Device Administrators
"""I need to disable devices in Microsoft Entra ID.""";device/disable;Device Administrators
"""I need to disable devices in Microsoft Entra ID.""";device/disable;Device Administrators
"""I need to disable devices in Microsoft Entra ID.""";device/disable;Device Administrators
"""I need to disable devices in Microsoft Entra ID.""";device/disable;Device Administrators
"""I need to update basic properties on Security groups, excluding role-assignable groups.""";Group/Update;Groups Administrator
"""I need to update basic properties on Security groups, excluding role-assignable groups.""";Group/Update;Groups Administrator
"""I need to update basic properties on Security groups, excluding role-assignable groups.""";Group/Update;Groups Administrator
"""I need to update basic properties on Security groups, excluding role-assignable groups.""";Group/Update;Groups Administrator
"""I need to update basic properties on Security groups, excluding role-assignable groups.""";Group/Update;Groups Administrator
"""I need to update all application proxy properties.""";microsoft.graph/applicationProxy/update;Application Administrator
"""I need to update all application proxy properties.""";microsoft.graph/applicationProxy/update;Application Administrator
"""I need to update all application proxy properties.""";microsoft.graph/applicationProxy/update;Application Administrator
"""I need to update all application proxy properties.""";microsoft.graph/applicationProxy/update;Application Administrator
"""I need to update all application proxy properties.""";microsoft.graph/applicationProxy/update;Application Administrator
"""I need to manage all aspects of Microsoft Edge.""";NONE;NONE
"""I need to manage all aspects of Microsoft Edge.""";NONE;NONE
"""I need to manage all aspects of Microsoft Edge.""";NONE;NONE
"""I need to manage all aspects of Microsoft Edge.""";NONE;NONE
"""I need to manage all aspects of Microsoft Edge.""";NONE;NONE
"""I need to read all properties of printers in Microsoft Print.""";microsoft.print/printers/read;Print Administrator
"""I need to read all properties of printers in Microsoft Print.""";microsoft.print/printers/read;Print Administrator
"""I need to read all properties of printers in Microsoft Print.""";microsoft.print/printers/read;Print Administrator
"""I need to read all properties of printers in Microsoft Print.""";microsoft.print/printers/read;Print Administrator
"""I need to read all properties of printers in Microsoft Print.""";microsoft.print/printers/read;Print Administrator
"""I need to read all properties of access reviews of all reviewable resources in Microsoft Entra ID.""";accessReview/read;Access Review Reader
"""I need to read all properties of access reviews of all reviewable resources in Microsoft Entra ID.""";accessReview/read;Access Review Reader
"""I need to read all properties of access reviews of all reviewable resources in Microsoft Entra ID.""";accessReview/read;Access Review Reader
"""I need to read all properties of access reviews of all reviewable resources in Microsoft Entra ID.""";accessReview/read;Access Review Reader
"""I need to read all properties of access reviews of all reviewable resources in Microsoft Entra ID.""";accessReview/read;Access Review Reader
"""I need to update applicationsverification property.""";application/update;Application Administrator
"""I need to update applicationsverification property.""";application/update;Application Administrator
"""I need to update applicationsverification property.""";application/update;Application Administrator
"""I need to update applicationsverification property.""";application/update;Application Administrator
"""I need to update applicationsverification property.""";application/update;Application Administrator
"""I need to manage all aspects of Power Apps.""";Microsoft.PowerApps/manage;Power Apps Admin
"""I need to manage all aspects of Power Apps.""";Microsoft.PowerApps/manage;Power Apps Admin
"""I need to manage all aspects of Power Apps.""";Microsoft.PowerApps/manage;Power Apps Admin
"""I need to manage all aspects of Power Apps.""";Microsoft.PowerApps/manage;Power Apps Admin
"""I need to manage all aspects of Power Apps.""";Microsoft.PowerApps/manage;Power Apps Admin
"""I need to read and configure key sets in Azure Active Directory B2C.""";policykeys/read;Policy and Key Manager
"""I need to read and configure key sets in Azure Active Directory B2C.""";policykeys/read;Policy and Key Manager
"""I need to read and configure key sets in Azure Active Directory B2C.""";policykeys/read;Policy and Key Manager
"""I need to read and configure key sets in Azure Active Directory B2C.""";policykeys/read;Policy and Key Manager
"""I need to read and configure key sets in Azure Active Directory B2C.""";policykeys/read;Policy and Key Manager
"""I need to read aspects of Microsoft Graph Data Connect.""";Microsoft.Graph/DataConnect.Read.All;Data Connect Administrator
"""I need to read aspects of Microsoft Graph Data Connect.""";Microsoft.Graph/DataConnect.Read.All;Data Connect Administrator
"""I need to read aspects of Microsoft Graph Data Connect.""";Microsoft.Graph/DataConnect.Read.All;Data Connect Administrator
"""I need to read aspects of Microsoft Graph Data Connect.""";Microsoft.Graph/DataConnect.Read.All;Data Connect Administrator
"""I need to read aspects of Microsoft Graph Data Connect.""";Microsoft.Graph/DataConnect.Read.All;Data Connect Administrator
"""I need to delete application policies.""";application/delete;Application Administrator
"""I need to delete application policies.""";application/delete;Application Administrator
"""I need to delete application policies.""";application/delete;Application Administrator
"""I need to delete application policies.""";application/delete;Application Administrator
"""I need to delete application policies.""";application/delete;Application Administrator
"""I need to read provisioning settings associated with the application object.""";application/provisioning/read;Application Administrator
"""I need to read provisioning settings associated with the application object.""";application/provisioning/read;Application Administrator
"""I need to read provisioning settings associated with the application object.""";application/provisioning/read;Application Administrator
"""I need to read provisioning settings associated with the application object.""";application/provisioning/read;Application Administrator
"""I need to read provisioning settings associated with the application object.""";application/provisioning/read;Application Administrator
"""I need to update tags of applications.""";application/update;Application Administrator
"""I need to update tags of applications.""";application/update;Application Administrator
"""I need to update tags of applications.""";application/update;Application Administrator
"""I need to update tags of applications.""";application/update;Application Administrator
"""I need to update tags of applications.""";application/update;Application Administrator
"""I need to create IoT Device from Internet of Things (IoT) device templates.""";Microsoft.Devices/IoTDevices/write;IoT Hub Contributor
"""I need to create IoT Device from Internet of Things (IoT) device templates.""";Microsoft.Devices/IoTDevices/write;IoT Hub Contributor
"""I need to create IoT Device from Internet of Things (IoT) device templates.""";Microsoft.Devices/IoTDevices/write;IoT Hub Contributor
"""I need to create IoT Device from Internet of Things (IoT) device templates.""";Microsoft.Devices/IoTDevices/write;IoT Hub Contributor
"""I need to create IoT Device from Internet of Things (IoT) device templates.""";Microsoft.Devices/IoTDevices/write;IoT Hub Contributor
"""I need to update basic policies for users.""";policy/readWrite.policy;Policy and Administration Manager
"""I need to update basic policies for users.""";policy/readWrite.policy;Policy and Administration Manager
"""I need to update basic policies for users.""";policy/readWrite.policy;Policy and Administration Manager
"""I need to update basic policies for users.""";policy/readWrite.policy;Policy and Administration Manager
"""I need to update basic policies for users.""";policy/readWrite.policy;Policy and Administration Manager
"""I need to manage all aspects of Desktop Analytics.""";microsoft.graph/deviceManagement/managedDevices/read;Intune Service Administrator
"""I need to manage all aspects of Desktop Analytics.""";microsoft.graph/deviceManagement/managedDevices/read;Intune Service Administrator
